city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
3424607,Tasiilaq,GL,65.61,-37.64,01/25/20,            30.2,63,100,25.28
6324729,Halifax,CA,44.65,-63.57,01/25/20,            29.21,92,90,16.11
3370903,Jamestown,SH,-15.94,-5.72,01/25/20,            75.2,75,100,14.63
1507390,Dikson,RU,73.51,80.55,01/25/20,            -7.82,96,100,7.07
3652764,Puerto Ayora,EC,-0.74,-90.35,01/25/20,            77.9,78,75,8.05
3369157,Cape Town,ZA,-33.93,18.42,01/25/20,            61.32,88,75,11.41
3430863,Mar del Plata,AR,-38,-57.56,01/25/20,            67.28,45,0,13.87
2077963,Albany,AU,-35.02,117.89,01/25/20,            62.6,93,75,4.7
2206939,Bluff,NZ,-46.6,168.33,01/25/20,            70.05,51,46,5.82
2377457,Nouadhibou,MR,20.93,-17.03,01/25/20,            64.4,68,100,19.46
5905393,Bonavista,CA,48.65,-53.11,01/25/20,            19,79,6,8.01
2112309,Katsuura,JP,35.13,140.3,01/25/20,            38.53,93,75,8.05
4011743,Constitucion,MX,23.99,-104.67,01/25/20,            53.6,71,90,6.93
5866583,Kodiak,US,57.79,-152.41,01/25/20,            19.4,62,90,17.22
2126123,Chokurdakh,RU,70.63,147.92,01/25/20,            -26.25,82,85,4.25
4031574,Provideniya,RU,64.38,-173.3,01/25/20,            -4.65,68,0,3.67
2094342,Kavieng,PG,-2.57,150.8,01/25/20,            84.36,71,95,8.97
546105,Nikolskoye,RU,59.7,30.79,01/25/20,            27.63,86,40,4.47
2123814,Leningradskiy,RU,69.38,178.42,01/25/20,            -12.41,95,97,4.21
3466980,Caravelas,BR,-17.71,-39.25,01/25/20,            77.02,83,100,10.02
7601762,Bairiki Village,KI,1.33,172.98,01/25/20,            87.8,74,20,6.93
3984997,San Quintin,MX,30.48,-115.95,01/25/20,            63.77,64,45,5.68
2281120,Tabou,CI,4.42,-7.35,01/25/20,            77.23,96,62,1.39
1006984,East London,ZA,-33.02,27.91,01/25/20,            75.58,80,0,15.05
2012956,Yerbogachen,RU,61.28,108.01,01/25/20,            26.22,89,100,16.73
6165406,Thompson,CA,55.74,-97.86,01/25/20,            15.8,92,90,3.69
5924351,Clyde River,CA,70.47,-68.59,01/25/20,            -23.8,61,5,4.7
2163355,Hobart,AU,-42.88,147.33,01/25/20,            67.08,60,40,8.05
4032243,Vaini,TO,-21.2,-175.2,01/25/20,            80.6,88,90,13.87
3533462,Acapulco de Juarez,MX,16.86,-99.89,01/25/20,            82.4,69,20,6.93
3833367,Ushuaia,AR,-54.8,-68.3,01/25/20,            49.01,66,75,23.04
4035715,Avarua,CK,-21.21,-159.78,01/25/20,            84.2,83,99,12.75
2074865,Carnarvon,AU,-24.87,113.63,01/25/20,            78.8,74,15,17.22
2381334,Atar,MR,20.52,-13.05,01/25/20,            72.72,23,87,9.91
2152667,Portland,AU,-38.33,141.6,01/25/20,            61.5,87,52,17.34
3896218,Castro,CL,-42.47,-73.77,01/25/20,            66.2,68,100,6.93
541349,Krasnyy Yar,RU,46.53,48.35,01/25/20,            41,65,90,26.84
1529651,Altay,CN,47.87,88.12,01/25/20,            12.43,57,74,2.19
2063042,Port Hedland,AU,-20.32,118.57,01/25/20,            91.4,52,0,11.41
473263,Vizinga,RU,61.07,50.1,01/25/20,            6.62,96,100,3.22
5282297,Bethel,US,41.37,-73.41,01/25/20,            43.5,93,90,3.36
3386931,Tamandare,BR,-8.76,-35.1,01/25/20,            81.91,85,74,17.96
3874787,Punta Arenas,CL,-53.15,-70.92,01/25/20,            50,66,75,18.34
4020109,Atuona,PF,-9.8,-139.03,01/25/20,            80.78,78,62,15.21
1586350,Cam Ranh,VN,11.92,109.16,01/25/20,            73.4,94,20,1.12
6167817,Torbay,CA,47.67,-52.73,01/25/20,            18.79,78,5,16.11
621277,Stolin,BY,51.89,26.85,01/25/20,            30.22,94,49,6.71
962330,Richmond,ZA,-29.87,30.27,01/25/20,            69.01,87,5,5.97
3904221,Sipe Sipe,BO,-17.45,-66.38,01/25/20,            73.4,28,10,13.87
2071860,Esperance,AU,-33.87,121.9,01/25/20,            71.6,68,86,8.05
2063036,Port Lincoln,AU,-34.73,135.87,01/25/20,            68.59,67,41,6.06
3141667,Roald,NO,62.58,6.13,01/25/20,            43.7,93,100,24.16
2031964,Darhan,MN,49.49,105.92,01/25/20,            3.18,79,3,5.55
3388615,Sao Joao dos Patos,BR,-6.5,-43.7,01/25/20,            78.04,74,88,2.59
2028164,Deputatsky,RU,69.3,139.9,01/25/20,            -40.23,100,55,0.76
2150163,Sawtell,AU,-30.38,153.1,01/25/20,            82.71,74,7,17.22
4030556,Rikitea,PF,-23.12,-134.97,01/25/20,            79.25,77,18,14.03
5882953,Aklavik,CA,68.22,-135.01,01/25/20,            -13,75,90,16.11
187585,Marsabit,KE,2.33,37.99,01/25/20,            75.96,69,100,14.09
1490256,Talnakh,RU,69.49,88.4,01/25/20,            1.4,84,75,8.95
1492607,Severnoye,RU,56.35,78.36,01/25/20,            3.54,94,100,9.69
5848280,Kapaa,US,22.08,-159.32,01/25/20,            77.16,74,40,10.29
3374346,Ponta do Sol,CV,17.2,-25.09,01/25/20,            69.8,88,98,20.8
5880054,Barrow,US,71.29,-156.79,01/25/20,            -27.4,67,1,8.05
2062276,Roebourne,AU,-20.78,117.13,01/25/20,            91.8,35,8,1.5
2264923,Peniche,PT,39.36,-9.38,01/25/20,            47.75,100,20,4.7
6185377,Yellowknife,CA,62.46,-114.35,01/25/20,            10.4,85,90,8.05
2022572,Khatanga,RU,71.97,102.5,01/25/20,            -24.14,91,57,2.89
3430443,Necochea,AR,-38.55,-58.74,01/25/20,            63.7,55,2,5.01
3361934,Saldanha,ZA,-33.01,17.94,01/25/20,            62.6,82,29,3.36
2013279,Vostok,RU,46.49,135.88,01/25/20,            -5.76,85,0,5.14
3932145,Pisco,PE,-13.7,-76.22,01/25/20,            75.02,83,75,21.92
572154,Borovichi,RU,58.39,33.92,01/25/20,            26.42,80,97,10.85
1264976,Leh,IN,34.17,77.58,01/25/20,            -3.08,94,100,4.68
2188874,Russell,NZ,-35.26,174.12,01/25/20,            79.48,69,100,4
2036237,Langxiang,CN,46.95,128.88,01/25/20,            -1.5,85,0,4.63
